관리번호,주소,상세주소
03-16-01,월드컵북로 45길 6-7,주소없음!
03-16-02,월드컵북로 43길 37,공간 옆
03-16-03,월드컵북로 43길 28,공원 돌 담 옆
03-16-04,월드컵북로 45길 9,태극기 달린 주택 옆 오르막길에
03-16-05,월드컵북로 43길 20,정운헤어빌 옆
03-16-06,월드컵북로 43길 6,부동산 옆
03-16-07,매봉산로 2길 51,앞 공원 앞
03-16-08,매봉산로 2길 45,공원 앞
03-16-09,월드컵북로 48길 28-12,주택 옆
03-16-10,매봉산로 2안길 12,앞 주류창고 앞
03-16-11,월드컵북로 48길 5,갈비탕 앞
03-16-13,매봉산로 2길 16,상암주민센터 옆
03-16-14,성암로 13길 54,화단인도 옆
03-16-15,성암로 13길 70,공원 가운데 옆
03-16-16,월드컵북로 42가길 6,화단 끝길에
03-16-17,월드컵북로 42다길 14,소화전 옆
03-16-18,월드컵북로 42라길 19,옆 코너에
03-16-19,성암로 15길 46,청산아트빌 옆
03-16-20,성암로 13길 19,빌라 옆
03-16-21,월드컵북로 42가길 32,상암감리교회 커피점 옆
03-16-22,월드컵북로 42가길 28,아파트 옆
03-16-23,성암로 211,앞 텃밭 옆
