관내 폐형광등(폐건전지) 수거함 현황(2020년 6월),,,,,,,,,,,,,,,,,,,
연번,관리번호,위치,단지 내 여부,번지,재질,비고,,,,,,,,,,,,,
216,시흥3동-9,공영주차장 측면,공유지,942-6,스텐,,,,,,,,,,,,,,
217,시흥3동-10,대흥빌라,단지 내,1003,스텐,,,,,,,,,,,,,,
218,시흥3동-11,석수빌라,공유지,1004,스텐,,,,,,,,,,,,,,
219,시흥3동-14,시흥중학교,공유지,산24-15,스텐,,,,,,,,,,,,,,
220,시흥3동-15,롯데빌리지 A동 앞,공유지,951-20,스텐,,,,,,,,,,,,,,
221,시흥3동-17,솔목파크빌 측면 맞은편,공유지,944,스텐,,,,,,,,,,,,,,
222,시흥3동-16,SM엘루이 아파트,단지 내,791-40,스텐,,,,,,,,,,,,,,
223,시흥3동-18,국립전통예술고등학교,공유지,산24-17,스텐,,,,,,,,,,,,,,
224,시흥3동-19,조양 휴캐슬 빌라 앞,공유지,984-3,스텐,,,,,,,,,,,,,,
225,시흥4동-1,경남아파트,단지 내,820-12,스텐,,,,,,,,,,,,,,
226,시흥4동-2,금강 아파트,단지 내,1008,스텐,,,,,,,,,,,,,,
227,시흥4동-3,시흥 아파트 ,단지 내,817-29,스텐,,,,,,,,,,,,,,
228,시흥4동-4,시흥삼익 아파트 101동,단지 내,5-13,스텐,,,,,,,,,,,,,,
229,시흥4동-5,시흥삼익 아파트 105동,단지 내,5-13,스텐,,,,,,,,,,,,,,
230,시흥4동-6,시흥삼익 아파트 107동,단지 내,5-13,스텐,,,,,,,,,,,,,,
231,시흥4동-7,시흥삼익 아파트 108동,단지 내,5-13,스텐,,,,,,,,,,,,,,
232,시흥4동-8,시흥삼익 아파트 108동 지하주차장,단지 내,5-13,스텐,,,,,,,,,,,,,,
233,시흥4동-9,시흥삼익 아파트 111동 주차장,단지 내,5-13,스텐,,,,,,,,,,,,,,
234,시흥4동-10,현대하이츠빌라,단지 내,3-108,스텐,,,,,,,,,,,,,,
235,시흥4동-11,월드메르디앙 아파트,단지 내,808,스텐,,,,,,,,,,,,,,
236,시흥4동-12,한빛 무궁화아파트,단지 내,1016,스텐,,,,,,,,,,,,,,
237,시흥4동-17,클린하우스 02 한울중학교 옹벽,공유지,792-1,클린하우스(철),,,,,,,,,,,,,,
238,시흥4동-19,클린하우스 04 느티나무 어린이공원,공원,817,클린하우스(철),,,,,,,,,,,,,,
239,시흥4동-20,클린하우스 05 순흥안씨 묘 앞,공유지,808,클린하우스(철),,,,,,,,,,,,,,
